Key,Korean,English
HUD_PC_BattleGuide_Finisher,처형 베기 :,Finisher :
HUD_PC_BattleGuide_NormalAttack,기본 공격 :,Normal :
HUD_PC_BattleGuide_Dash,순간 돌진 :,Dash :
HUD_PC_BattleGuide_SpecialAttack,초식-습격 :,Assault :
HUD_PC_BattleGuide_Move,이동 :,Move :
HUD_PC_BattleGuide_Menu,메뉴 :,Menu :
HUD_PC_BattleGuide_LockOn,주목 :,LockOn :
HUD_PC_BattleGuide_Interact,상호작용 :,Interact :
UI_Main_NewGame,새 게임,NewGame
UI_Main_Load,불러오기,Load
UI_Main_Settings,설정,Settings
UI_Main_Credit,크레딧,Credit
UI_Main_Quit,게임 종료,Quit
UI_Pause_Continue,계속하기,Continue
UI_Pause_Load,불러오기,Load
UI_Pause_Settings,설정,Settings
UI_Pause_MainMenu,메뉴로 나가기,Main Menu
UI_Button_Yes,네,Yes
UI_Button_No,아니오,No
UI_WindowExplain_NewGame,게임을 새로 시작하겠습니까?,Would you like to start a new game?
UI_WindowExplain_LoadSlot,여행의 기록을 선택해주십시오,Please select your record
UI_WindowExplain_Load,기록을 불러오시겠습니까?,Would you like to load a saved file?
UI_Setting_GamePlay_GamePlay,게임 플레이,GamePlay
UI_Setting_GamePlay_MouseSpeed(UpDown),마우스 속도(상하),"MouseSpeed(Up,Down)"
UI_Setting_GamePlay_MouseSpeed(LeftRight),마우스 속도(좌우),"MouseSpeed(Left,Right)"
UI_Setting_GamePlay_Up,위,Up
UI_Setting_GamePlay_Down,아래,Down
UI_Setting_GamePlay_Left,좌 ,Left
UI_Setting_GamePlay_Right,우,Right
UI_Setting_GamePlay_LockOn,주목,LockOn
UI_Setting_GamePlay_Interaction,상호작용,Interaction
UI_Setting_GamePlay_NormalAttack,기본공격,NormalAttack
UI_Setting_GamePlay_SpecialAttack,특수공격,SpecialAttack
UI_Setting_GamePlay_FinishAttack,처형,FinishAttack
UI_Setting_GamePlay_Dash,질주,Dash
UI_Setting_GamePlay_Menu,메뉴,Menu
UI_Setting_Sound_Sound,소리,Sound
UI_Setting_Sound_MasterVolme,· 마스터 볼륨,· MasterVolme
UI_Setting_Sound_BGM,· 배경음,· BGM
UI_Setting_Sound_EnemySFX,· 적 효과음,· EnemySFX
UI_Setting_Sound_PlayerSFX,· 캐릭터 효과음,· PlayerSFX
UI_Setting_Etc_Etc,기타,Etc
UI_Setting_Etc_Credits,· 제작진,· Credits
UI_Setting_Etc_CopyRight,· 저작권,· CopyRight
UI_Setting_Etc_Platform,· 플랫폼,· Platform
UI_Setting_Etc_View,보기,View
UI_Skip,건너뛰기,Skip
UI_Interaction,상호작용,Interact
UI_Monster_Wisu,위수,Wisu
UI_Env_Area00,덕굴 옆 샛길,Area00
UI_Env_Area01,덕굴 입구 1,Area01
UI_Env_Area20,덕굴 입구 2,Area20
UI_Env_Area21,현무 중앙길,Area21
UI_Env_Area30,서쪽으로 가는 길,Area30
UI_Env_Area31,위수의 다리 1,Area31
UI_Env_Area32,위수의 다리 2,Area32
UI_Env_Area33,위수의 다리 3,Area33
UI_Env_Area34,위수의 다리 4,Area34
UI_Env_Area40,뱀의 정원 1,Area40
UI_Env_Area41,뱀의 정원 2,Area41
UI_Env_Area42,뱀의 정원 3,Area42
UI_Env_Area43,뱀의 정원 4,Area43
UI_Env_Area44,뱀의 정원 5,Area44
UI_Env_Area50,위수의 방,Area50
UI_Setting_Display,화면,Display
UI_Setting_Language,언어,Language
UI_Setting_Language_ChangeLanguage,· 언어 변경,· ChangeLanguage
UI_Setting_Language_Korean,한국어,Korean
UI_Setting_Language_English,영어,English
UI_WindowExplain_Quit,게임을 종료하시겠습니까?,Would you like to quit the game?
UI_Back,뒤로가기,Back
HUD_Tutorial_NormalAttack,기본 공격,Normal Attack
HUD_Tutorial__Dash,질주,Dash
HUD_Tutorial__SpecialAttack,초식-습격,Special Attack
HUD_Tutorial__LockOn,주목,Lock On
HUD_Tutorial__Finish,처형,Finish
HUD_Tutorial__ExplainFinish,"하나의 대상에게 번갈아서 
덧칠을 적용하면 활성화","Activation occurs when repainting 
is applied alternately to a single target"
UI_AreaName_GraceCaveSidePath,덕굴 옆 샛길,Grace Cave Side Path
UI_AreaName_RuinedWisusGarden,위수의 정원,Ruined Wisu's Garden
UI_AreaName_GraceCaveEntrance,덕굴 입구,Grace Cave Entrance
UI_BossName_Wisu,업화의 위수,Wisu - Karmic Fire
UI_AreaName_HyeonmuCentralRoad,현무 중앙길,Hyeonmu Central Road
UI_AreaName_WisusBridge,위수의 다리,Wisu's Bridge
UI_PlayerDie,사망,YOU DIED
New Entry,,
UI_EnemyFelled,업화의 위수 토벌,ENEMY FELLED
HUD_Tutorial__ExplainDash,"주목 비활성화시,  앞으로 질주
주목 활성화시, 뒤로 회피","Forward dash by default. 
With Focus on, evade back"
HUD_Tutorial__ExplainLockOn,"버튼 입력시, 적에게 주목. 
버튼 재입력시, 주목 해제","Press button to lock on enemy.
Press again to unlock."
HUD_Tutorial_Joystick,캐릭터 움직임,Character Movement
HUD_Tutorial_CameraRotation,카메라 회전,Camera Rotation
UI_Pause_Settings_ClickHere,버튼을 누르세요,Click here
